Dataset name,Data Type,Task,Attribute type,No of instances,No of attributes,Year
Combined Cycle Power Plant,Multivariate,Regression,Real,9568,4,2014
Reuters-21578 Text Categorization Collection,Text,Classification,Categorical,21578,5,1997
Productivity Prediction of Garment Employees,"Multivariate, Time-Series","Classification, Regression","Integer, Real",1197,14,2020
Movie,"Multivariate, Relational",-,-,10000,-,1999
Ecoli,Multivariate,Classification,Real,336,7,1996
Higher Education Students Performance Evaluation,Multivariate,Classification,Integer,145,31,2023
Statlog (Vehicle Silhouettes),Multivariate,Classification,Integer,946,18,-
Drug Reviews (Drugs.com),"Multivariate, Text","Classification, Regression, Clustering",Integer,215063,6,2018
Statlog (Landsat Satellite),Multivariate,Classification,Integer,6435,36,1993
Insurance Company Benchmark (COIL 2000),Multivariate,"Regression, Description","Categorical, Integer",9000,-,2000
Statlog (Shuttle),Multivariate,Classification,Integer,58000,7,-
HIGGS,-,Classification,Real,11000000,-,2014
Sentiment Labelled Sentences,Text,Classification,-,3000,-,2015
Contraceptive Method Choice,Multivariate,Classification,"Categorical, Integer",1473,9,1997
ISOLET,Multivariate,Classification,Real,7797,617,1994
KDD Cup 1999 Data,Multivariate,Classification,"Categorical, Integer",4000000,-,1998
Lenses,Multivariate,Classification,Categorical,24,3,1990
Flags,Multivariate,Classification,"Categorical, Integer",194,30,1990
Drug Consumption (Quantified),Multivariate,Classification,Real,1885,12,2016
Horse Colic,Multivariate,Classification,"Categorical, Integer, Real",368,27,1989
MetroPT-3 Dataset,"Tabular, Multivariate, Time-Series",Classification,Real,1516948,15,2023
CMU Face Images,Image,Classification,Integer,640,-,1999
Molecular Biology (Promoter Gene Sequences),"Sequential, Domain-Theory",Classification,Categorical,106,-,1990
Water Quality Prediction,Other,Regression,-,705,-,2022
Waveform Database Generator (Version 1),"Multivariate, Data-Generator",Classification,Real,5000,21,1988
Soybean (Small),Multivariate,Classification,Categorical,47,35,1986
WESAD (Wearable Stress and Affect Detection),"Multivariate, Time-Series","Classification, Regression",Real,63000000,-,2018
Parkinsons Telemonitoring,Tabular,Regression,"Integer, Real",5875,19,2009
Traffic Flow Forecasting,Multivariate,Regression,-,2101,-,2021
Protein Data,-,-,-,-,-,-
Glioma Grading Clinical and Mutation Features,"Tabular, Multivariate","Classification, Other","Real, Categorical, Integer",839,23,2022
Land Mines,"Tabular, Multivariate, Other","Classification, Clustering","Real, Integer",338,3,2022
Poker Hand,Multivariate,Classification,"Categorical, Integer",1025010,10,2006
Haberman's Survival,Multivariate,Classification,Integer,306,3,1999
Statlog Project,Other,Other,-,1,-,1992
Absenteeism at work,"Multivariate, Time-Series","Classification, Clustering","Integer, Real",740,19,2018
MONK's Problems,Multivariate,Classification,Categorical,432,6,1992
Anonymous Microsoft Web Data,-,Recommender-Systems,Categorical,37711,294,1998
Myocardial infarction complications,Multivariate,Classification,Real,1700,111,2020
National Poll on Healthy Aging (NPHA),Tabular,Classification,Categorical,714,14,2023
Iranian Churn,Multivariate,"Classification, Regression",Integer,3150,13,2020
Balloons,Multivariate,Classification,Categorical,16,4,-
ILPD (Indian Liver Patient Dataset),Multivariate,Classification,"Integer, Real",583,10,2012
Echocardiogram,Multivariate,Classification,"Categorical, Integer, Real",132,9,1989
Census-Income (KDD),Multivariate,Classification,"Categorical, Integer",299285,41,2000
National Health and Nutrition Health Survey 2013-2014 (NHANES) Age Prediction Subset,Tabular,Classification,"Real, Categorical, Integer",6287,7,2023
Multiple Features,Multivariate,Classification,"Integer, Real",2000,-,-
US Census Data (1990),Multivariate,Clustering,Categorical,2458285,68,-
Molecular Biology (Splice-junction Gene Sequences),"Sequential, Domain-Theory",Classification,Categorical,3190,60,1991
Musk (Version 1),Multivariate,Classification,Integer,476,168,1994
Cloud,"Multivariate, Image",Other,Real,1024,10,1989
Clickstream Data for Online Shopping,"Multivariate, Sequential","Classification, Regression, Clustering","Integer, Real",165474,14,2019
Primary Tumor,Multivariate,Classification,Categorical,339,17,1988
HCV data,Multivariate,"Classification, Clustering","Integer, Real",615,12,2020
SPECT Heart,Multivariate,Classification,Categorical,267,22,2001
Chess (King-Rook vs. King-Pawn),Multivariate,Classification,Categorical,3196,35,1989
DARWIN,Tabular,Classification,-,174,451,2022
Connect-4,"Multivariate, Spatial",Classification,Categorical,67557,42,1995
NASA Flood Extent Detection,Image,Classification,Real,50000,-,2023
Cervical Cancer (Risk Factors),Multivariate,Classification,"Integer, Real",858,36,2017
Servo,Multivariate,Regression,"Categorical, Integer",167,4,1993
Beijing Multi-Site Air Quality,"Multivariate, Time-Series",Regression,"Integer, Real",420768,-,2019
Taiwanese Bankruptcy Prediction,Multivariate,Classification,Integer,6819,95,2020
Polish Companies Bankruptcy,Multivariate,Classification,Real,10503,65,2016
Fertility,Multivariate,"Classification, Regression",Real,100,9,2013
Travel Reviews,"Multivariate, Text","Classification, Clustering",Real,980,10,2018
Annealing,Multivariate,Classification,"Categorical, Integer, Real",798,38,-
AIDS Clinical Trials Group Study 175,"Tabular, Multivariate","Classification, Regression","Categorical, Integer",2139,23,2023
Metro Interstate Traffic Volume,"Multivariate, Sequential, Time-Series",Regression,"Integer, Real",48204,8,2019
Bach Chorales,"Univariate, Time-Series",-,"Categorical, Integer",100,6,-
Dow Jones Index,Time-Series,"Classification, Clustering","Integer, Real",750,15,2014
RT-IoT2022,"Tabular, Sequential, Multivariate","Classification, Regression, Clustering","Real, Categorical",123117,83,2024
Lymphography,Multivariate,Classification,Categorical,148,19,1988
Maternal Health Risk,Multivariate,Classification,"Real, Integer",1013,6,2023
Japanese Credit Screening,"Multivariate, Domain-Theory",Classification,"Categorical, Real, Integer",125,15,1992
Bar Crawl: Detecting Heavy Drinking,"Multivariate, Time-Series","Classification, Regression",Real,14057567,15,2020
Sales Transactions Weekly,"Multivariate, Time-Series",Clustering,"Integer, Real",811,106,2017
Challenger USA Space Shuttle O-Ring,Multivariate,Regression,Integer,23,4,1993
Cardiotocography,Multivariate,Classification,Real,2126,21,2010
Infrared Thermography Temperature,Tabular,Regression,"Real, Categorical",1020,33,2023
Cirrhosis Patient Survival Prediction,Tabular,Classification,"Real, Categorical",418,17,2023
Breast Cancer Coimbra,Multivariate,Classification,Integer,116,9,2018
Blood Transfusion Service Center,Multivariate,Classification,Real,748,4,2008
Differentiated Thyroid Cancer Recurrence,Tabular,Classification,"Real, Categorical, Integer",383,16,2023
Algerian Forest Fires,Multivariate,"Classification, Regression",Real,244,14,2019
DeFungi,Image,Classification,Real,9114,-,2023
MHEALTH,"Multivariate, Time-Series",Classification,Real,120,-,2014
Risk Factor Prediction of Chronic Kidney Disease,Multivariate,"Classification, Regression",Real,200,28,2023
Chess (King-Rook vs. King),Multivariate,Classification,"Categorical, Integer",28056,6,1994
TCGA Kidney Cancers,"Tabular, Multivariate","Classification, Clustering",Real,1024,60660,2023
Room Occupancy Estimation,"Multivariate, Time-Series",Classification,Real,10129,18,2023
PAMAP2 Physical Activity Monitoring,"Multivariate, Time-Series",Classification,Real,3850505,-,2012
Daily and Sports Activities,"Multivariate, Time-Series","Classification, Clustering",Real,9120,5625,2013
Facebook Metrics,Multivariate,Regression,Integer,500,18,2016
Regensburg Pediatric Appendicitis,"Tabular, Image",Classification,"Real, Categorical, Integer",782,53,2023
Page Blocks Classification,Multivariate,Classification,"Integer, Real",5473,10,1995
HAR70+,"Multivariate, Time-Series",Classification,Real,2259597,6,2023
South German Credit,Multivariate,"Classification, Regression, Clustering","Integer, Real",1000,21,2020
Cylinder Bands,Multivariate,Classification,"Categorical, Integer, Real",512,39,1995
detection_of_IoT_botnet_attacks_N_BaIoT,"Multivariate, Sequential","Classification, Clustering",Real,7062606,-,2018
Beijing PM2.5,"Multivariate, Time-Series",Regression,"Integer, Real",43824,11,2017
Website Phishing,Multivariate,Classification,Integer,1353,9,2016
Secondary Mushroom,Tabular,Classification,Real,61068,20,2023
Hayes-Roth,Multivariate,Classification,Categorical,160,4,1989
Labor Relations,Multivariate,-,"Categorical, Integer, Real",57,16,1988
In-Vehicle Coupon Recommendation,Multivariate,Classification,"Categorical, Integer",12684,25,2020
Bag of Words,Text,Clustering,Integer,8000000,100000,2008
El Nino,Other,Other,"Integer, Real",178080,11,1999
Smartphone Dataset for Anomaly Detection in Crowds,Time-Series,Classification,-,14221,-,2021
Audiology (Original),Multivariate,Classification,Categorical,226,-,1987
Musk (Version 2),Multivariate,Classification,Integer,6598,166,1994
Multivariate Gait Data,"Sequential, Multivariate, Time-Series","Classification, Regression, Clustering","Real, Categorical, Integer",181800,7,2022
Daily Demand Forecasting Orders,Time-Series,Regression,Integer,60,12,2017
EEG Eye State,"Multivariate, Sequential, Time-Series",Classification,"Integer, Real",14980,14,2013
Australian Sign Language Signs,"Multivariate, Time-Series",Classification,"Categorical, Real",6650,-,1999
Gender by Name,Text,"Classification, Clustering",-,147270,4,2020
HARTH,"Multivariate, Time-Series",Classification,Real,6461328,8,2023
Waveform Database Generator (Version 2),"Multivariate, Data-Generator",Classification,Real,5000,-,1988
Year Prediction MSD,Multivariate,Regression,Real,515345,-,2011
SUPPORT2,"Tabular, Multivariate","Classification, Regression, Other","Real, Categorical, Integer",9105,42,2023
Mammographic Mass,Multivariate,Classification,Integer,961,5,2007
Entree Chicago Recommendation Data,"Transactional, Sequential",Recommender-Systems,Categorical,50672,-,2000
Audiology (Standardized),Multivariate,Classification,Categorical,226,70,1992
LED Display Domain,"Multivariate, Data-Generator",Classification,Categorical,-,7,1988
Autism Screening Adult,-,Classification,Integer,704,20,2017
Traffic Flow Forecasting,Other,Regression,-,2101,-,2022
SECOM,Multivariate,"Classification, Causal-Discovery",Real,1567,591,2008
Vertebral Column,Multivariate,Classification,Real,310,6,2011
MNIST Database of Handwritten Digits,Image,Classification,Real,70000,-,2021
Kitsune Network Attack,"Multivariate, Sequential, Time-Series","Classification, Clustering, Causal-Discovery",Real,27170754,7,2019
Corel Image Features,Multivariate,-,Real,68040,-,1999
Ozone Level Detection,"Multivariate, Sequential, Time-Series",Classification,Real,2536,72,2008
Post-Operative Patient,Multivariate,Classification,"Categorical, Integer",90,8,1993
Chess (King-Rook vs. King-Knight),"Multivariate, Data-Generator",Classification,"Categorical, Integer",-,-,1988
Facebook Live Sellers in Thailand,Multivariate,Clustering,Integer,7051,11,2019
Stock Portfolio Performance,Multivariate,Regression,Real,315,12,2016
Educational Process Mining (EPM): A Learning Analytics Data Set,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering",Integer,230318,-,2015
SPECTF Heart,Multivariate,Classification,Integer,267,44,2001
Parkinson's Disease Classification,Multivariate,Classification,"Integer, Real",756,754,2018
Hierarchical Sales Data,Time-Series,"Clustering, Other",-,1798,237,2021
Superconductivty Data,Multivariate,Regression,Real,21263,81,2018
Steel Plates Faults,Multivariate,Classification,"Integer, Real",1941,27,2010
Molecular Biology (Protein Secondary Structure),Sequential,Classification,Categorical,128,-,-
Large-scale Wave Energy Farm,Multivariate,Regression,Real,63600,149,2023
gene expression cancer RNA-Seq,Multivariate,"Classification, Clustering",Real,801,20531,2016
KDD Cup 1998,Multivariate,Regression,"Categorical, Integer",191779,-,1998
News Popularity in Multiple Social Media Platforms,"Multivariate, Time-Series, Text",Regression,"Integer, Real",93239,-,2018
Statlog (Image Segmentation),Multivariate,Classification,Real,2310,19,1990
Electrical Grid Stability Simulated Data,Multivariate,"Classification, Regression",Real,10000,12,2018
Plants,Multivariate,Clustering,Categorical,34781,70,2008
Bosch CNC Machining Dataset,"Multivariate, Time-Series","Classification, Clustering",Real,2700,3,2022
ISTANBUL STOCK EXCHANGE,"Multivariate, Univariate, Time-Series","Classification, Regression",Real,536,10,2013
Jute Pest,Image,"Classification, Other",Categorical,7235,17,2023
Heterogeneity Activity Recognition,"Multivariate, Time-Series","Classification, Clustering",Real,43930257,-,2015
Trains,Multivariate,Classification,Categorical,10,-,1994
E. Coli Genes,Relational,-,-,-,-,2001
Condition monitoring of hydraulic systems,"Multivariate, Time-Series","Classification, Regression",Real,2205,43680,2018
Rice Leaf Diseases,Multivariate,Classification,Integer,120,-,2019
Basketball dataset,Time-Series,Classification,Integer,10000,7,2019
Student Academics Performance,Multivariate,Classification,-,300,22,2018
