Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
Bosch,"Bosch 8 kg 5 Star Fully-Automatic Front Loading Washing Machine (WAJ2846PIN, Titanium, AI active water plus, In-Built Heater)",N/A,-,"FREE delivery as soon as Thu, 18 Apr, 7 am - 3 pm",Not Available,https://www.amazon.in/Bosch-Fully-Automatic-Loading-WAJ2846PIN-Titanium/dp/B0CFFPR4GS/ref=sr_1_10?dib=eyJ2IjoiMSJ9.eaoHO_d6MVkG2089kYyEuwgEk5u4C8OqQXrm6QAvGTbZjvZr4cn6KgMOgtpMMKmiQETMN2py7TDGhqPV1QfieFI-938ezqZdB7l2jLSbb46ZuWVTybJc9o3v-H1qlyNfzjawTbru0MMmF1s4H3R6Gih2rVB-WhZM4iyVpO3rChlOU98gzeFpI4zddhi1_4iJ7bF0kfSn2FVA-QZ0ZFBKHK0pd2LmRaTcOobNe27RER4.CWuLjkObOUE0gSKOUfCAehueluwxLeXOOTTywWLgH5g&dib_tag=se&keywords=washing+machine+fully+automatic&qid=1713266932&sr=8-10
Voltas,"Voltas beko A Tata Product 1200 rpm 6 Kg Front Load Washing Machine with inbuilt Heater and Hygiene Wash (WFL6012B7CUSKA/WXV, White, 2023 Model)","₹20,990",-,"FREE delivery as soon as Thu, 18 Apr, 7 am - 3 pm",Available,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTYzMTU5ODgyODU1MTA2OjE3MTMyNjY5MzI6c3BfbXRmOjMwMDAyNzE3NTg4NDUzMjo6MDo6&url=%2FVoltas-Product-Washing-WFL6012B7CUSKA-WXV%2Fdp%2FB0C85RMN28%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.eaoHO_d6MVkG2089kYyEuwgEk5u4C8OqQXrm6QAvGTbZjvZr4cn6KgMOgtpMMKmiQETMN2py7TDGhqPV1QfieFI-938ezqZdB7l2jLSbb46ZuWVTybJc9o3v-H1qlyNfzjawTbru0MMmF1s4H3R6Gih2rVB-WhZM4iyVpO3rChlOU98gzeFpI4zddhi1_4iJ7bF0kfSn2FVA-QZ0ZFBKHK0pd2LmRaTcOobNe27RER4.CWuLjkObOUE0gSKOUfCAehueluwxLeXOOTTywWLgH5g%26dib_tag%3Dse%26keywords%3Dwashing%2Bmachine%2Bfully%2Bautomatic%26qid%3D1713266932%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Whirlpool,"Whirlpool 8 Kg Ozone Technology Inverter Front Load Washing Machine with In-Built Heater (XO8014BYM52E, Midnight Grey, 100+ Tough Stains, 1400 RPM, 2024 Model)","₹35,990",-,"FREE delivery as soon as Thu, 18 Apr, 7 am - 3 pm",Available,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NTYzMTU5ODgyODU1MTA2OjE3MTMyNjY5MzI6c3BfbXRmOjMwMDE2MDU0MjM4NDEzMjo6MDo6&url=%2FWhirlpool-Technology-Inverter-XO8014BYM52E-Midnight%2Fdp%2FB0CVX4XQ3L%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.eaoHO_d6MVkG2089kYyEuwgEk5u4C8OqQXrm6QAvGTbZjvZr4cn6KgMOgtpMMKmiQETMN2py7TDGhqPV1QfieFI-938ezqZdB7l2jLSbb46ZuWVTybJc9o3v-H1qlyNfzjawTbru0MMmF1s4H3R6Gih2rVB-WhZM4iyVpO3rChlOU98gzeFpI4zddhi1_4iJ7bF0kfSn2FVA-QZ0ZFBKHK0pd2LmRaTcOobNe27RER4.CWuLjkObOUE0gSKOUfCAehueluwxLeXOOTTywWLgH5g%26dib_tag%3Dse%26keywords%3Dwashing%2Bmachine%2Bfully%2Bautomatic%26qid%3D1713266932%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Samsung,"Samsung 8 kg, 5 star, Eco Bubble Tech, Digital Inverter Motor, Soft Closing Door, Fully-Automatic Top Load Washing Machine (WA80BG4441BGTL, Light Gray, Awarded as Washing Machine Brand of the year)","₹19,490",-,"FREE delivery as soon as Thu, 18 Apr, 7 am - 3 pm",Available,https://www.amazon.in/Samsung-Fully-Automatic-Ecobubble-WA80BG4441BGTL-Technology/dp/B0B8NK5HTH/ref=sr_1_13?dib=eyJ2IjoiMSJ9.eaoHO_d6MVkG2089kYyEuwgEk5u4C8OqQXrm6QAvGTbZjvZr4cn6KgMOgtpMMKmiQETMN2py7TDGhqPV1QfieFI-938ezqZdB7l2jLSbb46ZuWVTybJc9o3v-H1qlyNfzjawTbru0MMmF1s4H3R6Gih2rVB-WhZM4iyVpO3rChlOU98gzeFpI4zddhi1_4iJ7bF0kfSn2FVA-QZ0ZFBKHK0pd2LmRaTcOobNe27RER4.CWuLjkObOUE0gSKOUfCAehueluwxLeXOOTTywWLgH5g&dib_tag=se&keywords=washing+machine+fully+automatic&qid=1713266932&sr=8-13
Panasonic,"Panasonic 6 Kg 5 Star Fully-Automatic Top Load Washing Machine ( NA-F60LF1HRB, Grey, Durable Metal Body, 8 Wash Program, Aquabeat wash technology, One touch smart wash, 2022 model)","₹13,790",-,"FREE delivery as soon as Thu, 18 Apr, 7 am - 3 pm",Available,https://www.amazon.in/Panasonic-Fully-Automatic-Loading-Washing-NA-F60LF1HRB/dp/B08B9756FB/ref=sr_1_14?dib=eyJ2IjoiMSJ9.eaoHO_d6MVkG2089kYyEuwgEk5u4C8OqQXrm6QAvGTbZjvZr4cn6KgMOgtpMMKmiQETMN2py7TDGhqPV1QfieFI-938ezqZdB7l2jLSbb46ZuWVTybJc9o3v-H1qlyNfzjawTbru0MMmF1s4H3R6Gih2rVB-WhZM4iyVpO3rChlOU98gzeFpI4zddhi1_4iJ7bF0kfSn2FVA-QZ0ZFBKHK0pd2LmRaTcOobNe27RER4.CWuLjkObOUE0gSKOUfCAehueluwxLeXOOTTywWLgH5g&dib_tag=se&keywords=washing+machine+fully+automatic&qid=1713266932&sr=8-14
IFB,"IFB 6 Kg 5 Star AI Powered Fully Automatic Front Load Washing Machine 2X Power Steam (DIVA AQUA GBS 6010, 2023 Model, Grey, In-built Heater, 4 years Comprehensive Warranty)","₹23,990",-,"FREE delivery as soon as Thu, 18 Apr, 7 am - 3 pm",Available,https://www.amazon.in/IFB-DIVA-AQUA-GBS-6010/dp/B0CB1FS1WR/ref=sr_1_15?dib=eyJ2IjoiMSJ9.eaoHO_d6MVkG2089kYyEuwgEk5u4C8OqQXrm6QAvGTbZjvZr4cn6KgMOgtpMMKmiQETMN2py7TDGhqPV1QfieFI-938ezqZdB7l2jLSbb46ZuWVTybJc9o3v-H1qlyNfzjawTbru0MMmF1s4H3R6Gih2rVB-WhZM4iyVpO3rChlOU98gzeFpI4zddhi1_4iJ7bF0kfSn2FVA-QZ0ZFBKHK0pd2LmRaTcOobNe27RER4.CWuLjkObOUE0gSKOUfCAehueluwxLeXOOTTywWLgH5g&dib_tag=se&keywords=washing+machine+fully+automatic&qid=1713266932&sr=8-15
Haier,"Haier 6 Kg Fully Automatic Washing Machine Appliance with Oceanus Wave Drum, Magic Filter, Balance clean Pulsator, 8 Wash Program (HWM60-AE, Titanium)","₹12,690",-,"FREE delivery as soon as Thu, 18 Apr, 7 am - 3 pm",Available,https://www.amazon.in/Haier-Automatic-Pulsator-HWM60-AE-Titanium/dp/B0CC8P3J3L/ref=sr_1_16?dib=eyJ2IjoiMSJ9.eaoHO_d6MVkG2089kYyEuwgEk5u4C8OqQXrm6QAvGTbZjvZr4cn6KgMOgtpMMKmiQETMN2py7TDGhqPV1QfieFI-938ezqZdB7l2jLSbb46ZuWVTybJc9o3v-H1qlyNfzjawTbru0MMmF1s4H3R6Gih2rVB-WhZM4iyVpO3rChlOU98gzeFpI4zddhi1_4iJ7bF0kfSn2FVA-QZ0ZFBKHK0pd2LmRaTcOobNe27RER4.CWuLjkObOUE0gSKOUfCAehueluwxLeXOOTTywWLgH5g&dib_tag=se&keywords=washing+machine+fully+automatic&qid=1713266932&sr=8-16
LG,"LG 7 Kg 5 Star Inverter Touch panel Fully-Automatic Front Load Washing Machine with In-Built Heater (FHM1207SDM, Middle Black, Steam for Hygiene Wash)","₹28,990",-,"FREE delivery as soon as Thu, 18 Apr, 7 am - 3 pm",Available,https://www.amazon.in/LG-Inverter-Fully-Automatic-Washing-FHM1207SDM/dp/B0BMGD9Y2X/ref=sr_1_17?dib=eyJ2IjoiMSJ9.eaoHO_d6MVkG2089kYyEuwgEk5u4C8OqQXrm6QAvGTbZjvZr4cn6KgMOgtpMMKmiQETMN2py7TDGhqPV1QfieFI-938ezqZdB7l2jLSbb46ZuWVTybJc9o3v-H1qlyNfzjawTbru0MMmF1s4H3R6Gih2rVB-WhZM4iyVpO3rChlOU98gzeFpI4zddhi1_4iJ7bF0kfSn2FVA-QZ0ZFBKHK0pd2LmRaTcOobNe27RER4.CWuLjkObOUE0gSKOUfCAehueluwxLeXOOTTywWLgH5g&dib_tag=se&keywords=washing+machine+fully+automatic&qid=1713266932&sr=8-17
Panasonic,"Panasonic 6.5 Kg 5 Star Fully-Automatic Top Load Washing Machine (2024 Model, NA-F65LF3CRB, Charcoal Inox Grey, 12 Wash Program, Active Foam Wash Technology, Antibacterial Water Inlet)","₹14,490",-,"FREE delivery as soon as Thu, 18 Apr, 7 am - 3 pm",Available,https://www.amazon.in/Panasonic-Fully-Automatic-NA-F65LF3CRB-Technology-Antibacterial/dp/B0CWLHCGV3/ref=sr_1_18?dib=eyJ2IjoiMSJ9.eaoHO_d6MVkG2089kYyEuwgEk5u4C8OqQXrm6QAvGTbZjvZr4cn6KgMOgtpMMKmiQETMN2py7TDGhqPV1QfieFI-938ezqZdB7l2jLSbb46ZuWVTybJc9o3v-H1qlyNfzjawTbru0MMmF1s4H3R6Gih2rVB-WhZM4iyVpO3rChlOU98gzeFpI4zddhi1_4iJ7bF0kfSn2FVA-QZ0ZFBKHK0pd2LmRaTcOobNe27RER4.CWuLjkObOUE0gSKOUfCAehueluwxLeXOOTTywWLgH5g&dib_tag=se&keywords=washing+machine+fully+automatic&qid=1713266932&sr=8-18
Whirlpool,Whirlpool 7.5 Kg 5 Star StainWash Royal Plus Fully Automatic Top Load Washing Machine (SW ROYAL PLUS 7.5 (H) GREY 10YMW with In-Built Heater),"₹18,240",-,"FREE delivery as soon as Thu, 18 Apr, 7 am - 3 pm",Available,https://www.amazon.in/Whirlpool-7-5-SW-ROYAL-PLUS/dp/B0CMZKV2H1/ref=sr_1_19?dib=eyJ2IjoiMSJ9.eaoHO_d6MVkG2089kYyEuwgEk5u4C8OqQXrm6QAvGTbZjvZr4cn6KgMOgtpMMKmiQETMN2py7TDGhqPV1QfieFI-938ezqZdB7l2jLSbb46ZuWVTybJc9o3v-H1qlyNfzjawTbru0MMmF1s4H3R6Gih2rVB-WhZM4iyVpO3rChlOU98gzeFpI4zddhi1_4iJ7bF0kfSn2FVA-QZ0ZFBKHK0pd2LmRaTcOobNe27RER4.CWuLjkObOUE0gSKOUfCAehueluwxLeXOOTTywWLgH5g&dib_tag=se&keywords=washing+machine+fully+automatic&qid=1713266932&sr=8-19
